id130,title,rank,province,alt,modern,description,country,batlas,awmc,dare,darmc,hanson,orbis,PECS,pleiades,topostext,TTPlace,trismegistos,vici,wikidata,wikipedia:en,start,latlon,lon,lat
401,Capsa,6,Africa Proconsularis,Capsa (Iustiniana),Gafsa,Capsa (Iustiniana) was an ancient city of Byzacium in north Africa.,Tunisia,33 C4,161303,21844,21898,170,50103,capsa,324684,,218,,2280,1035028,Capsa_(see),100,"34.4200935,8.78662",8.78662,34.4200935
402,Carissa,6,Hispania Baetica,Caris(s)a,Carija,"An ancient place, cited: BAtlas 26 E5 Caris(s)a",Spain,26 E5,135039,25252,30114,332,,,256057,,,,10819,5749247,,-50,"36.875708,-5.728857",-5.728857,36.875708
403,Carmo,6,Hispania Baetica,,Carmona,Carmo was a town in Hispania Ulterior.,Spain,26 E4,158353,22229,29757,333,,carmo,256058,375-56UCar,,,3675,63092,,-50,"37.4703045,-5.6464685",-5.6464685,37.4703045
404,Carpasium,6,Cyprus,Karpasia,Haghios Philon,"An ancient place, cited: BAtlas 72 E1 Karpasia",Cyprus,72 E1,133171,21561,23032,434,,karpasia,707526,356344PKar,,1011,17255,1734309,Karpasia_(town),-700,"35.626206,34.369934",34.369934,35.626206
405,Carpis,6,Africa Proconsularis,Carpi(s),Mraissa,"An ancient place, cited: BAtlas 32 G3 Carpi(s)",Tunisia,32 G3,161784,21603,15633,171,,,314920,,,,30193,100041,,-45,"36.7652445,10.5531225",10.5531225,36.7652445
406,Carrhae,6,,,Harran,Carrhae is a major settlement of Upper Mesopotamia from the Bronze Age onward. The earliest mentions of the site are found in the Ebla tablets (ca. 2300 B.C.).,Türkiye,67 H3,159605,21826,30116,,50106,,658427,369390UCar,2642,,2419,199547,Harran,-750,"36.8645779761,39.0300379839",39.0300379839,36.8645779761
407,Carseoli,6,Italia,Carsioli,Carsli,"An ancient settlement along the Via Valeria, Carsioli was established as a Latin colony in the territory of the Aequi ca. 298 BC.",Italy,44 D1,155630,22564,28300,882,,carseoli,432760,421130UCar,1309,,1772,50070,,-400,"42.0785637,13.0439756",13.0439756,42.0785637
408,Carsulae,6,Italia,,Carsulae,An ancient settlement originating the late fourth or third centuries BC and lying along the route of the Roman Via Flaminia.,Italy,42 D3,148538,17237,28301,926,,carsulae,413065,426126UCar,,,11621,519033,,-400,"42.6397991,12.5568068",12.5568068,42.6397991
409,Cartenna,6,Mauretania Caesariensis,,Ténès,"An ancient place, cited: BAtlas 30 B3 Cartenna",Algeria,30 B3,137192,22136,21913,1169,,,295240,,,,3935,15052636,,-30,"36.510044,1.310964",1.310964,36.510044
410,Cartima,6,Hispania Baetica,,Cartama,"An ancient place, cited: BAtlas 27 A5 Cartima",Spain,27 A5,136024,25220,30119,335,,,265851,,,,16022,935266,,-50,"36.711379,-4.630784",-4.630784,36.711379
411,Casilinum,6,Italia,,Capua,"A settlement located in the border region between the ager Falernus and the ager Campanus, north of Capua.",Italy,44 F3,163426,1457,28307,759,,,432763,411142UCas,1456,,1861,58477,,-400,"41.1034594,14.2170763",14.2170763,41.1034594
412,Castabala,6,Cilicia,"Hierapolis, Kastabala",Denlizi,"A city of Cilicia with Hittite origins, Hierapolis/Kastabala later became part of the Cilician satrapy of the Achaemenid Empire and, later, part of the Roman empire.",Türkiye,67 C2,134600,21499,34875,435,,,658481,372362UKas,,16492,10939,948243,Castabala_(city),-323,"37.176408,36.1873455",36.1873455,37.176408
413,Castrum Novum,6,Italia,,Torre Chiaruccia,Castrum Novum was a colonia maritima established on the coast of Etruria.,Italy,44 A1,149707,21309,,967,,,432772,420118UCNo,1256,,58728,3995160,,-400,"42.0333333,11.8333333",11.8333333,42.0333333
414,Castrum Novum,6,Italia,,Giulianova,"An ancient place, cited: BAtlas 42 F3 Castrum Novum",Italy,42 F3,166132,18731,17015,909,,,413073,427140UCNo,1263,14411,1736,51450,,-400,"42.752395,13.962266",13.962266,42.752395
415,Castrum Truentinum,6,Italia,,Villa Feriozzi,"An ancient place, cited: BAtlas 42 F3 Castrum Truentinum",Italy,42 F3,148539,18732,17016,,50110,,413074,429139UCTr,1262,30634,1735,51452,,-330,"42.913675,13.904352",13.904352,42.913675
416,Castulo,6,Hispania Tarraconensis,,Cazona,An Ibero-Roman settlement of Baetica that was inhabited beginning in the Neolithic period. It is noted for the silver mines of the Sierra Morena.,Spain,27 B3,136025,16841,30140,694,50111,castulo,265855,380000UCas,,,3638,1049992,Castulo,-50,"38.036873,-3.6240175",-3.6240175,38.036873
417,Catania,6,Sicilia,"Katane, Catina",Catania,The colonial city of Katane (modern Catania) was founded by Chalcidian Greeks sometime after the foundation of Leontini in 730 B.C.,Italy,47 G3,133389,16884,28496,1298,,katane,462270,375151PCat,1504,,58373,1903,,-729,"37.502959,15.088142",15.088142,37.502959
418,Caudium,6,Italia,,Montesarchio,A city of Samnium located between Capua and Beneventum. In 321 B.C. the Samnites under C. Pontius encamped there before defeating the Romans at the battle of the Caudine Forks.,Italy,44 G3,155005,22188,28320,762,50113,,432773,411146UCau,1460,,1863,55925,Caudium,-400,"41.06255,14.6367615",14.6367615,41.06255
419,Caunus,6,Asia,,Dalyan,An ancient city of Caria in southwest Asia Minor.,Türkiye,65 A4,163752,21188,21944,262,50614,kaunos,638796,368286UKau,2388,1022,28760,608095,Kaunos,-600,"36.827092,28.623687",28.623687,36.827092
420,Celeia,6,Pannonia Superior,,Celje,Celeia was an important settlement in Noricum.,Slovenia,20 C3,162822,10718,21950,1279,50114,celeia,197206,,1583,19892,1968,1012,Celje,41,"46.219721,15.27184",15.27184,46.219721
421,Celenderis,6,Cilicia,,Aydıncık,An ancient city on the southern coast of Asia Minor at modern Aydıncık in Turkey's Mersin province. It was a major pottery producer and exporter during the Achaemenid period.,Türkiye,66 C4,139504,21403,12939,436,,kelenderis,648596,361333UKel,2362,3516,2333,583185,"Aydıncık,_Mersin",-800,"36.144259,33.323694",33.323694,36.144259
422,Celsa,6,Hispania Tarraconensis,Col. Victrix Iulia Lepida,Velilla del Ebro,"An ancient place, cited: BAtlas 25 E4 Celsa/Col. Victrix Iulia Lepida",Spain,25 E4,152254,18388,30148,695,,celsa,246321,414000UCel,,26704,15330,5760255,,-27,"41.3736645889,-0.435891845218",-0.435891845218,41.3736645889
423,Cenabum,6,Gallia Lugdunensis,,Orléans,Cenabum was an oppidum of the Carnutes tribe.,France,14 G1,165310,120,21955,608,50115,cenabum,138281,479019UCen,650,3277,2596,2710144,,-27,"47.9007265,1.9068675",1.9068675,47.9007265
424,Centuripae,6,Sicilia,,Centuripe,"A city of the indigenous Sikels, Centuripae allied itself with Athens during the expedition against Syracuse.",Italy,47 F3,134753,22541,28326,1299,,centuripae,462153,376147PCen,1502,,1904,56202,,-400,"37.624073,14.740017",14.740017,37.624073
425,Cereatae Marianae,6,Italia,,Casamari,"Cereatae Marianae, purported to have been the birthplace of Gaius Marius, is thought to have been located where the 13th century abbey church of Casamari now stands (in the modern province of Frosinone, Lazio, Italy).",Italy,44 E2,165521,22697,28329,763,,,432776,,,32442,,833129,,-400,"41.6713196555,13.487263063",13.487263063,41.6713196555
426,Chaeronea,6,Achaia,,Khaironia,"An ancient settlement of Boeotia, Chaeronea was a subject of Orchomenus and a member of the Boeotian League. From the late fifth century BC, Chaeronea belonged to one of the 11 Boeotian districts.",Greece,55 D4,134499,22857,21967,20,,chaironeia,540701,385228PCha,1889,,3080,549874,Chaeronea,-600,"38.49396775,22.8414259",22.8414259,38.49396775
427,Chalcedon,6,Bithynia et Pontus,,Kadıköy,Chalcedon was an ancient maritime city of Bithynia.,Türkiye,53 B3,135245,16677,12259,377,50117,,520988,410290PCha,2108,,69432,337381,Chalcedon,-685,"40.983393,29.025789",29.025789,40.983393
428,Chersonasos,6,Creta et Cyrenaica,,Limin Khersonisos,"An ancient place, cited: BAtlas 60 D2 Chersonasos",Greece,60 D2,161090,23368,22007,477,50577,chersonesos-1,589744,353254PChe,2072,,2944,5092564,,-500,"35.319165,25.388567",25.388567,35.319165
429,Chios,6,Asia,,,"An ancient place, cited: BAtlas 56 C5 Chios",Greece,56 C5,133332,22860,13183,,50588,pityoussa-1,550496,384261PChi,,,,748832,Chios_(town),-750,"38.37641,26.1342335",26.1342335,38.37641
430,Choba,6,Mauretania Caesariensis,,Ziama,"An ancient place, cited: BAtlas 31 C3 Choba",Algeria,31 C3,135229,21649,22012,1170,,,305062,,24,,2388,106523827,,100,"36.6665775,5.4607425",5.4607425,36.6665775
431,Chullu,6,Numidia,,Chollo,An ancient city of Numidia located on the Sinus Olcachites.,Algeria,31 F2,136640,22121,22021,1243,,,305063,,29,,2447,2983525,,-44,"37.0078525,6.562081",6.562081,37.0078525
432,Chythrus,6,Cyprus,Chyt(h)roi,Kythrea,"An ancient place, cited: BAtlas 72 C2 Chyt(h)roi",Cyprus,72 C2,143001,22722,22028,437,,chytroi,707496,352335UChy,2425,525,3089,2967764,Chytri,-700,"35.245772,33.490691",33.490691,35.245772
433,Cibalae,6,Pannonia Inferior,,Vinkovci,"An ancient place, cited: BAtlas 20 F4 Cibalae",Bosnia and Herzegovina,20 F4,148746,10862,22029,1270,50118,cibalae,197207,453188UCib,1654,29142,2020,221495,,100,"45.291016,18.801056",18.801056,45.291016
434,Cibyra,6,Lycia et Pamphylia,,Gölhisar,"An ancient Greek city, largely rebuilt in the early Roman empire after a major earthquake. Kibyra is located near the modern town of Göhlisar (formerly Horzum) in Turkey's Burdur province.",Türkiye,65 B3,163753,21470,22030,1109,50436,,638804,372295UCib,,1097,10950,1643467,,-323,"37.15943905,29.49215475",29.49215475,37.15943905
435,Cierium,6,Achaia,Kierion,Mataránga,"An ancient place, cited: BAtlas 55 C2 Kierion",Greece,55 C2,151192,25177,23182,22,,,540867,394221PKie,,33421,33242,16554823,,-600,"39.361088,22.075455",22.075455,39.361088
436,Cillium,6,Africa Proconsularis,,Kasserine,"Cillium (modern Kasserine, Tunisia) occupies a strategic location in the gap between the Semmama and Chambi mountains, along the road from Gafsa.",Tunisia,33 C2,163352,21638,22034,174,,,324694,,,,10954,852735,Kasserine,69,"35.16765875,8.7977637",8.7977637,35.16765875
437,Cingulum,6,Italia,,Cingoli,Cingulum was a town in Picenum.,Italy,42 E2,146748,16814,28338,927,,,413082,,,32625,58427,73649,,-400,"43.37422,13.203437",13.203437,43.37422
438,Circeii,6,Italia,,Rovine di Circe,"A port on the Tyrrhenian coast. In myth, the site was considered to be one of the stopping points of the hero Odysseus.",Italy,44 D3,140509,22392,28340,765,,,432783,,,,59125,128165,Mount_Circeo,-27,"41.252111,13.034928",13.034928,41.252111
439,Cirta,6,Numidia,Constantina,Constantine,The capital city of the ancient Berber Kingdom of Numidia.,Algeria,31 F4,138729,21642,22043,1244,50120,cirta,305064,364066UCir,43,,2481,1093156,Cirta,-100,"36.3681146667,6.61330266667",6.61330266667,36.3681146667
440,Cisamus,6,Creta et Cyrenaica,Kisamos,Kastelli Kisamou,"An ancient place, cited: BAtlas 60 A2 Kisamos",Greece,60 A2,151075,23373,14138,478,,,589870,355237UKis,2065,,2222,1021629,Kissamos,-600,"35.495307,23.660727",23.660727,35.495307
441,Citium,6,Cyprus,Kition,Larnaca,Kition was an ancient city founded on the southern coast of Cyprus in the thirteenth century B.C.,Cyprus,72 D3,139174,21563,23198,438,,kition,707534,349336PKit,2430,1109,3090,1743884,Kition,-900,"34.9211821039,33.6319814122",33.6319814122,34.9211821039
442,Civitas Nattabutum,6,Numidia,Castellum Ro(...),Oumm Guerriche,"An ancient place, cited: BAtlas 31 G4 Civitas Nattabutum/Castellum Ro(...)",Algeria,31 G4,152673,22107,22047,1245,,,305066,,,,59949,,,100,"36.239408,7.260549",7.260549,36.239408
443,Claudia Aprensis,6,Thracia,"Aproi, Aprus, Col. Claudia Aprensis, Nova Theodosiopolis",Kestridze,"An ancient place, cited: BAtlas 52 A3 Aproi/Col. Claudia Aprensis/Nova Theodosiopolis",Türkiye,52 A3,159756,21398,16811,1372,50029,,511153,409271UApr,1981,,33470,20165879,,-600,"40.9269409,27.1073556",27.1073556,40.9269409
444,Claudia Archelais,6,Galatia et Cappadocia,"Garsaura, Col. Claudia Archelais, Koloneia",Aksaray,"Originally known as Garsaura, this place was a key settlement of the strategia of Garsaouritis. King Archelaus refounded it and named it after himself. Under the Roman emperor Claudius the site received colonial status.",Türkiye,63 E4,141278,21244,22484,413,50039,colonia-archelais,619164,384340UGar,2150,16449,3470,182025,Aksaray,-36,"38.378381,34.033375",34.033375,38.378381
445,Claudia Caes. Ptol.,6,Syria,"Ake, Ptolemais",Acre,The Phoenician city of Akko was re-founded by Ptolemy II Philadelphos from ca. 285-246 B.C.,Israel,69 B4,160899,21662,21270,1323,50014,ptolemais-1,678010,329351UPto,486,2020,10829,126084,"Acre,_Israel",-400,"32.92128675,35.079835",35.079835,32.92128675
446,Claudiopolis,6,Bithynia et Pontus,"Bithynion, Hadriana",Bolu,"An ancient settlement in Bithynia, modern Bolu in Turkey.",Türkiye,86 B3,145525,21211,21765,,50076,,844879,407316UBit,2107,16286,,200951,Bolu,-1750,"40.7561925,31.5858565",31.5858565,40.7561925
447,Claudioseleucia,6,Lycia et Pamphylia,"Seleucia, Seleucia Sidera",Selef,"Seleucia Sidera was an ancient city in the northern part of Pisidia, Anatolia, founded by Seleucus I Nicator or Antiochus I Soter in order to protect the military road across northern Pisidia.",Türkiye,65 E2,163760,21441,14878,1134,,seleuceia-sidera,639098,379306USel,,,10957,7447932,Seleucia_Sidera,-323,"37.8963206667,30.6212863333",30.6212863333,37.8963206667
448,Clazomenae,6,Asia,Klazomenai (later),Klazümen,"A town in Lydia that, according to Pausanias, moved from an initial, mainland site thought by scholars to have been southwest of modern Urla Iskelesi to an island in the Bay of Smyrna (modern Klazümen).",Türkiye,56 D5,151008,21171,,266,,,550651,384268PKla,,,10958,536598,,-600,"38.3614655,26.772471",26.772471,38.3614655
449,Cleitor,6,Achaia,Kleitor,Kato Klitoria,"An ancient place, cited: BAtlas 58 C2 Kleitor",Greece,58 C2,161929,21919,23207,24,,kleitor,570359,379221PKle,,,73372,2537130,,-600,"37.893544,22.123335",22.123335,37.893544
450,Cluviae,6,Italia,,Piano Laroma,A city of the Carricini Samnites.,Italy,42 G4,140048,22941,28353,883,,cluviae,413097,421143UClu,,32818,31301,51198,,-400,"42.1271415,14.2764295",14.2764295,42.1271415
451,Clysma,6,Aegyptus,,Suez,Clysma was an ancient port city at the northern end of the Gulf of Suez (modern al‑Qulzum in the city of Suez).,Egypt,74 H5,139191,21705,22052,,50123,,727101,300326UArs,448,2794,2487,3775676,Clysma,-330,"29.9701405,32.5601425",32.5601425,29.9701405
452,Cnidus,6,Asia,Knidos,Cnidus,"An ancient settlement located at Tekir on the western tip of the modern Datça peninsula in Turkey (ancient Knidia), which extends from the southwest corner of Asia Minor.",Türkiye,61 E4,157791,21190,13185,267,50606,knidos-1,599575,367274PKni,2386,1121,2347,690575,Knidos,-700,"36.6881795,27.3728385",27.3728385,36.6881795
453,Colophon,6,Asia,,Degirmendere,"Colophon was an Ionian city in Lydia, located ca. 13 km north of the harbour of Notion. Its ruins are located near modern Değirmendere.",Türkiye,61 E1,135647,21170,34031,268,,colophon,599577,381272PCol,2228,1142,3100,1142488,Colophon_(city),-601,"38.108253,27.1483085",27.1483085,38.108253
454,Colossae,6,Asia,,Honaz,"An ancient place, cited: BAtlas 65 B2 Colossae",Türkiye,65 B2,165231,21472,22064,269,,,638811,378293UKol,,16149,10961,1001370,Colossae,-323,"37.7930956667,29.2580716667",29.2580716667,37.7930956667
455,Comama,6,Lycia et Pamphylia,Col. Iulia Augusta Prima Fida,Serefönü,"An ancient place, cited: BAtlas 65 D3 Comama/Col. Iulia Augusta Prima Fida",Türkiye,65 D3,161704,21554,11960,1110,,,638812,373303UKom,,16443,60033,1779768,,-323,"37.3220943333,30.3143186667",30.3143186667,37.3220943333
456,Comana,6,Galatia et Cappadocia,"Hierapolis, Chryse",Şar,Comana/Hierapolis/Chryse was an ancient city in Cappadocia.,Türkiye,64 C4,148924,21240,22067,414,50126,,628959,383363UCom,2307,16454,2308,952748,Comana_(Cappadocia),-323,"38.3313252358,36.3239848355",36.3239848355,38.3313252358
457,Comum,6,Italia,,Como,Comum (modern Como) was a key city of regio XI of ancient Italy. The Celtic site received a Roman colony (Novum Comum) under Iulius Caesar in the first century BC.,Italy,39 E2,157118,2718,14830,1068,50127,comum,383627,45891UCom,1024,,1573,1308,Como,-59,"45.81192,9.085784",9.085784,45.81192
458,Conimbriga,6,Lusitania,,Condeixa a Velha,Conimbriga was a Celtic and Roman settlement in Portugal that was inhabited between the ninth century BC and the seventh century AD.,Portugal,24 C4,142646,16869,30190,1081,50128,,236443,401000UCon,,,8004,868754,Conímbriga,-27,"40.099,-8.4933",-8.4933,40.099
459,Contributa Iulia Ugultunia,6,Hispania Baetica,,,"An ancient place, cited: BAtlas 26 D3 Contributa Iulia Ugultunia",Spain,26 D3,134755,23501,30195,370,,,256126,383000UCon,,,3661,55088075,,-49,"38.3478707401,-6.39005121169",-6.39005121169,38.3478707401
460,Coptos,6,Aegyptus,,Kouft,An ancient settlement on the Nile river (modern Quft/Qift in Egypt) that flourished from pre-dynastic times through late antiquity.,Egypt,80 B1,137012,22151,13192,120,50130,,786010,259328UCop,398,1159,13218,935454,Qift,-323,"25.996402,32.815787",32.815787,25.996402
461,Cora,6,Italia,,Cori a Valle,A Latin center in the Monti Lepini that was already a Roman municipium by 211 B.C.,Italy,43 D3,136435,22563,28371,766,,cora,422909,416129UCor,,32449,61728,128081,,-600,"41.64255,12.915671",12.915671,41.64255
462,Coracesium,6,Cilicia,Korakesion,Alanya,"An ancient place, cited: BAtlas 65 G4 Korakesion",Türkiye,65 G4,150243,21559,23263,441,,,638933,365320UKor,,1161,18315,171810,Alanya,-323,"36.540014,31.991032",31.991032,36.540014
463,Corcyra,6,Epirus,,Analipsi,The eponymous settlement of the island of Corcyra (modern Korfu).,Greece,54 A2,164619,21985,22088,25,50537,kerkyra,530834,396199PKer,,15798,,205832,Corfu_(city),-734,"39.606285,19.91558",19.91558,39.606285
464,Corfinium,6,Italia,,Corfinio,Corfinium was the principal city of the Paeligni in the valley of the Aternus river. The site becomes the capital of the breakaway Italic groups that oppose Rome during the Social War.,Italy,42 F4,137021,16756,28375,884,50132,corfinium,413105,421138UCor,1298,,1763,2428630,,-400,"42.123814,13.842185",13.842185,42.123814
465,Corinium Dobunnorum,6,Britannia,"Korinion, Cironium",Cirencester,Korinion/Cironium (also referred to as Corinium Dobunnorum) was the second largest town of Roman Britain.,United Kingdom,8 F3,146124,20683,30394,387,,corinium-dobunnorum,79549,517-20UCor,,15314,3902,550187,Corinium_Dobunnorum,100,"51.71138,-1.971806",-1.971806,51.71138
466,Coronea,6,Achaia,,Agios Georgios,"An ancient settlement of Boeotia, located about 4 km north of the modern Greek city that now bears its name.",Greece,55 D4,149760,23114,22096,27,,,540717,384230PKor,1888,33356,2122,593295,"Koroneia,_Boeotia",-600,"38.391204,22.957112",22.957112,38.391204
467,Cortona,6,Italia,,Cortona,"An Umbrian city that, under Etruscan influence, expanded and came to be called 'Curtun'. Later it became the Roman colony of Cortino.",Italy,42 B2,152852,18718,17037,970,,cortona,413106,433120UCor,,,59071,52080,,-500,"43.274078,11.98775",11.98775,43.274078
468,Corycus,6,Lycia et Pamphylia,Korykos,Kizkalesi,"An ancient place, cited: BAtlas 65 D5 Korykos",Türkiye,65 D5,150245,22667,14205,1111,50631,,638939,363305UOly,,,,,,-323,"36.435722,30.465671",30.465671,36.435722
469,Cosa,6,Italia,,Ansedonia,A Latin colony in south Etruria founded ca. 273 B.C.,Italy,42 A4,156948,21588,17038,971,50134,cosa,413107,424113UCos,1120,,2687,546547,,-400,"42.4110730728,11.2888342313",11.2888342313,42.4110730728
470,Cremna,6,Lycia et Pamphylia,Col. Iulia Augusta Felix,Amlik,"A significant Hellenistic settlement of Pisidia that received an Augustan colony, taking the name Colonia Iulia Augusta Felix Cremnensium.",Türkiye,65 E2,160495,21438,22105,1113,,,638814,375307UKre,,16321,24699,917259,"Cremna,_Pisidia",-323,"37.4987716792,30.689022848",30.689022848,37.4987716792
471,Cremona,6,Italia,,Cremona,"Cremona is a city of Cisalpine Gaul located on the Po river. The Romans established a colony of 6,000 settlers there after 225 B.C. Cremona was the first Latin colony placed north of the Po river.",Italy,39 G3,159139,5543,14846,1013,,cremona,383628,451100UCre,1052,,1594,6231,,-218,"45.133639,10.026149",10.026149,45.133639
472,Croton,6,Italia,Croto(n),Crotone,An Achaean colony in Magna Graecia established in 710 BC by the oikist Myscellus from the city of Rhypes in the Peloponnese.,Italy,46 F3,153735,16739,28390,855,,kroton,452317,391171PCro,1419,,1837,6681,Crotone,-708,"39.0811675,17.127966",17.127966,39.0811675
473,Cubulteria,6,Italia,Kupelternum,,Kupelternum/Cubulteria was an ancient Samnite settlement.,Italy,44 F3,135678,16766,28499,767,,,432890,,,,59133,3699071,,-400,"41.251934,14.327125",14.327125,41.251934
474,Cuicul,6,Mauretania Caesariensis,,Djemila,"A Berbero-Roman town of North Africa (modern Djémila in Algeria). Sometimes labeled on maps and in travel information as ""Curculum"".",Algeria,31 D4,167171,21628,22112,1171,50135,cuicul,305068,,90,,2808,457362,Djémila,96,"36.3176905,5.73668362",5.73668362,36.3176905
475,Cumae,6,Italia,Kyme,Cumae,"An ancient settlement of Campania, Cumae was the first Greek colony established on the Italian mainland in the eighth century BC.",Italy,44 F4,157123,16719,28393,768,50136,cumae,432808,408141PCum,1470,,1873,5401440,Cumae,-750,"40.8476741,14.0562815333",14.0562815333,40.8476741
476,Cupra Maritima,6,Italia,,Civita di Marano,Cupra Maritima was a coastal city of Picenum (regio V) assigned to the tribus Velina.,Italy,42 F2,152168,22907,30205,928,,,413112,430139UCup,1182,32630,1679,56055,Cupra_Marittima,-400,"43.0225465,13.85713",13.85713,43.0225465
477,Cures,6,Italia,,Cures,Cures (also Cures Sabini) was a Sabine city located in the Tiber river valley along the Via Salaria. The Romans conquered Cures in 290 B.C. under M'. Curius Dentatus and granted it status as a municipium in the tribus Sergia.,Italy,42 D4,146749,16784,28397,885,,,413114,422127UCur,,14403,58768,2246183,,-400,"42.1802695,12.68544",12.68544,42.1802695
478,Curium,6,Cyprus,Kourion,Kourion,"An ancient settlement in the southern part of the island of Cyprus, located southwest of Episkopi in the Lemesos district.",United Kingdom,72 B3,137744,21565,23293,443,,kourion,707549,,2432,1174,2365,1785592,Kourion,-700,"34.6648435197,32.8865906248",32.8865906248,34.6648435197
479,Cyaneae,6,Lycia et Pamphylia,Kyaneai,Yavu,An ancient city of Lycia and the chief settlement in the region between Antiphellos and Myra.,Türkiye,65 C5,149460,21457,14248,1114,,kyaneai,638948,362298UKya,,16432,10969,1762663,Cyaneae,-323,"36.2467973333,29.8206553333",29.8206553333,36.2467973333
480,Cyme,6,Asia,,Namurt Limani,An ancient city of Aeolis.,Türkiye,56 D4,159800,21203,22124,271,,,550506,388269UCym,2222,16129,3109,679305,Cyme_(Aeolis),-700,"38.7601928185,26.938319355",26.938319355,38.7601928185
481,Cyrrus,6,Syria,Hagioupolis,Kyrrhos,"Seleucid kings (either Seleucus I Nicator or Antiochus I Soter), likely founded Cyrrhus in the first half of the third century B.C.",Syria,67 D3,147141,21509,30207,1333,50139,,658446,367370UKyr,2570,,10971,536924,Cyrrhus,-323,"36.744679,36.956398",36.956398,36.744679
482,Dardanorum,6,Moesia Superior,Dard(...),,"An ancient place, cited: BAtlas 21 C6 Dard(...)",Serbia,21 C6,136350,25254,22153,1217,,,207069,,,,21029,4817379,Municipium_Dardanorum,100,"43.0523387,20.8096138",20.8096138,43.0523387
483,Darnis,6,Creta et Cyrenaica,,Derna,"An ancient place, cited: BAtlas 38 D1 Darnis",Libya,38 D1,141156,21855,22158,,50141,,373780,328226UDar,,,59971,211866,"Derna,_Libya",-750,"32.7660775,22.6404775",22.6404775,32.7660775
484,Dea Vocontiorum,6,Gallia Narbonensis,Col. Dea Vocontiorum,Die,An Augustan colony in Gallia Narbonensis located in the valley of the Drôme river; an important cultic center of the Vocontii.,France,17 E4,146414,190,15677,644,,dea-augusta-vocontiorum,167716,,821,20958,2737,209773,,-27,"44.752363,5.370412",5.370412,44.752363
485,Delminium,6,Dalmatia,,Borčani,Delminium was an ancient city of Illyria and a capital of the Dalmatae.,Bosnia and Herzegovina,20 E6,134093,13898,22174,523,,delminium,197244,,,29556,60129,1255537,Delminium,-44,"43.644639,17.313894",17.313894,43.644639
486,Dertona,6,Italia,,Tortona,A city founded in the second century B.C. at the junction of the Via Postumia and Via Aemilia Scauri which merged to become the Via Julia Augusta.,Italy,39 D4,149105,1520,14868,1032,50144,julia-dertona,383633,449089UDer,869,,2772,17686,,-123,"44.897171,8.865452",8.865452,44.897171
487,Dertosa,6,Hispania Tarraconensis,Hibera Iulia Ilercavonia,Tortosa,"An ancient place, cited: BAtlas 25 F5 Dertosa/Hibera Iulia Ilercavonia",Spain,25 F5,156977,10961,30213,697,50145,,246369,408005UDer,,27363,3722,8354994,Tortosa,-50,"40.811004,0.520955",0.520955,40.811004
488,Deultum,6,Thracia,,Debelt,"An ancient settlement, modern Debelt in Bulgaria.",Bulgaria,22 E6,139057,21782,34619,1377,50146,,216788,424273UDeu,,,21174,1201664,,69,"42.3886719103,27.2808172535",27.2808172535,42.3886719103
489,Diana Veteranorum,6,Mauretania Caesariensis,,Zana,Diana Veteranorum was a vicus in Numidia founded for veterans of Legio III Augusta. It became a municipium in A.D. 162.,Algeria,34 E2,148252,22111,22194,1172,50148,diana-veteranorum,334536,,,,1995,1573776,Diana_Veteranorum,98,"35.7798225608,6.07746431754",6.07746431754,35.7798225608
490,Dianium,6,Hispania Tarraconensis,Hemeroskopeion,,"An ancient place, cited: BAtlas 27 F3 Dianium/Hemeroskopeion",Spain,27 F3,134112,16846,10964,698,50450,,265880,388001UDia,,,3714,646725,Dénia,-50,"38.842795,0.107511",0.107511,38.842795
491,Dierna,6,Dacia,,Orşova,"An ancient place, cited: BAtlas 21 E5 Dierna",Romania,21 E5,148473,21387,34621,494,50149,,207078,,1731,13602,3406,16898405,Orșova,107,"44.7317105,22.4019085",22.4019085,44.7317105
492,Diluntum,6,Dalmatia,,Stolac,"An ancient place, cited: BAtlas 20 E6 Diluntum",Bosnia and Herzegovina,20 E6,140030,13932,22203,524,,stolac,197247,,1700,29554,2047,20527103,,-44,"43.078729,17.958448",17.958448,43.078729
493,Diocaesarea,6,Iudaea,Sepphoris,Saffuriyeh,"An ancient place, cited: BAtlas 69 B4 Sepphoris/Diocaesarea",Israel,69 B4,157600,21663,24681,1367,,sepphoris,678387,327352USep,,,11378,1132798,Sepphoris,-323,"32.7535945,35.281457",35.281457,32.7535945
494,Diocaesarea,6,Cilicia,,Uzuncaburç,"An ancient place, cited: BAtlas 66 D3 Diocaesarea",Türkiye,66 D3,143794,21407,22207,444,,diocaesarea-1,648623,,,,11008,,Uzuncaburç,-323,"36.5813456667,33.922253",33.922253,36.5813456667
495,Dionysias,6,Arabia Petraea,*Soada,As Suwayda,"An ancient place, cited: BAtlas 69 E4 Dionysias/*Soada",Syria,69 E4,158791,21514,17039,234,,,678119,,,,11010,311099,As-Suwayda,-323,"32.707083,36.5652865",36.5652865,32.707083
496,Diospolis Parva,6,Aegyptus,Diospolis Mikra,Hiw,"The capital of the seventh Nome of Upper Egypt, located on the west bank of the Nile.",Egypt,77 G4,155531,22148,10340,125,,,756566,260323UDio,,577,,1227091,"Hu,_Egypt",-323,"26.016881,32.312497",32.312497,26.016881
